,2XH6A,2ZOEA,3WINE,4MJTA
Cry4Aa1,0.2647058823529412,0.2348993288590604,0.36363636363636365,0.2545454545454545
Cry4Aa2,0.2647058823529412,0.42857142857142855,0.36363636363636365,0.2545454545454545
Cry4Aa3,0.2647058823529412,0.42857142857142855,0.36363636363636365,0.2545454545454545
Cry4Aa4,0.2647058823529412,0.42857142857142855,0.36363636363636365,0.2545454545454545
Cry4Ba1,-10000000.0,0.2682926829268293,0.34615384615384615,0.47058823529411764
Cry4Ba2,-10000000.0,0.2682926829268293,0.34615384615384615,0.47058823529411764
Cry4Ba3,-10000000.0,0.2777777777777778,0.38461538461538464,0.2962962962962963
Cry4Ba4,-10000000.0,0.2682926829268293,0.34615384615384615,0.47058823529411764
Cry4Ba5,-10000000.0,0.2682926829268293,0.34615384615384615,0.47058823529411764
Cry4Ca1,0.23809523809523808,0.39285714285714285,0.45,0.3
Cry4Ca2,0.3888888888888889,0.39285714285714285,0.45,0.3
Cry4Cb1,0.3888888888888889,0.47058823529411764,0.36363636363636365,0.38095238095238093
Cry4Cb2,0.3888888888888889,0.47058823529411764,0.36363636363636365,0.36363636363636365
Cry4Cb3,0.3888888888888889,0.47058823529411764,0.36363636363636365,0.36363636363636365
Cry4Cc1,0.23853211009174313,0.39285714285714285,0.36363636363636365,0.35
Cry4Da1,0.30952380952380953,0.625,0.391304347826087,0.2692307692307692
Cry50Aa1,-10000000.0,0.21428571428571427,0.20270270270270271,0.5
Cry50Ba1,0.3188405797101449,0.296875,0.28846153846153844,0.2857142857142857
Cry50Ba2,0.3188405797101449,0.296875,0.28846153846153844,0.7142857142857143
Cry52Aa1,0.3181818181818182,0.5,0.4666666666666667,0.35294117647058826
Cry52Ba1,0.6666666666666666,0.4117647058823529,0.45,0.625
Cry52Ca1,0.38461538461538464,0.42857142857142855,0.4666666666666667,0.23076923076923078
Cry53Aa1,0.42857142857142855,0.5,0.3023255813953488,0.23809523809523808
Cry53Ab1,0.22641509433962265,0.46153846153846156,0.28,0.43478260869565216
Cry54Aa1,0.25675675675675674,0.13333333333333333,0.27586206896551724,0.28
Cry54Aa2,0.25806451612903225,0.2786885245901639,0.26666666666666666,-10000000.0
