,2XH6A,2ZOEA,3WINE,4MJTA
Cry2Aa6,0.4117647058823529,0.34782608695652173,0.3548387096774194,0.2857142857142857
Cry2Aa7,0.4117647058823529,0.34782608695652173,0.3,0.2
Cry2Aa8,0.4117647058823529,0.3333333333333333,0.3548387096774194,0.2857142857142857
Cry2Aa9,0.4117647058823529,0.3333333333333333,0.3548387096774194,0.2857142857142857
Cry2Ab1,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab10,-10000000.0,0.2830188679245283,0.34782608695652173,0.3225806451612903
Cry2Ab11,0.3684210526315789,0.391304347826087,0.34782608695652173,0.5833333333333334
Cry2Ab12,-10000000.0,0.2830188679245283,0.34782608695652173,0.3225806451612903
Cry2Ab13,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab14,0.3684210526315789,0.21621621621621623,0.28205128205128205,0.5833333333333334
Cry2Ab15,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.35294117647058826
Cry2Ab16,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab17,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab18,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab19,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab2,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab20,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab21,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab22,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab23,0.3684210526315789,0.24050632911392406,0.34782608695652173,0.5833333333333334
Cry2Ab24,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab25,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab26,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab27,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab28,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab29,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.35294117647058826
Cry2Ab3,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab30,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab31,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab32,0.3684210526315789,0.391304347826087,0.375,0.3333333333333333
Cry2Ab33,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab34,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab35,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab36,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab37,0.3684210526315789,0.21621621621621623,0.34782608695652173,0.5833333333333334
Cry2Ab39,0.2857142857142857,0.24050632911392406,0.34782608695652173,0.5833333333333334
Cry2Ab4,-10000000.0,-10000000.0,0.23809523809523808,-10000000.0
